l       ,accuracy on test,accuracy on validation,number of cycles,time
0.0061  ,50.62           ,51.32                 ,2               ,356.08
0.0003  ,48.47           ,48.3                  ,2               ,300.768
0.0038  ,50.99           ,51.8                  ,2               ,325.243
0.0006  ,48.72           ,48.8                  ,2               ,313.881
0.0     ,48.59           ,46.94                 ,2               ,292.369
0.0288  ,47.04           ,47.28                 ,2               ,299.168
0.0     ,47.79           ,47.9                  ,2               ,291.225
0.0     ,47.78           ,48.94                 ,2               ,299.602
0.0245  ,47.74           ,47.66                 ,2               ,305.725
0.0     ,48.35           ,49.1                  ,2               ,300.239
0.0074  ,50.62           ,51.06                 ,2               ,322.152
0.0001  ,48.0            ,49.32                 ,2               ,300.475
0.0001  ,48.71           ,48.32                 ,2               ,302.625
0.0     ,48.16           ,48.18                 ,2               ,293.666
0.0075  ,50.97           ,51.24                 ,2               ,299.998
0.0001  ,48.16           ,47.8                  ,2               ,294.46
0.0015  ,49.41           ,49.34                 ,2               ,315.148
0.0055  ,50.77           ,51.0                  ,2               ,296.151
0.0076  ,50.61           ,50.96                 ,2               ,289.198
0.0023  ,49.79           ,50.96                 ,2               ,2655.928
0.0363  ,45.74           ,45.7                  ,2               ,316.045
0.0876  ,39.97           ,38.94                 ,2               ,306.122
0.0061  ,31.34           ,0                     ,0               ,3.37
0.0003  ,30.17           ,0                     ,0               ,3.46
0.0038  ,32.05           ,0                     ,0               ,3.37
0.0006  ,32.2            ,0                     ,0               ,3.18
0.0     ,30.64           ,0                     ,0               ,3.24
0.006108,44.87           ,15                    ,1               ,51.43
0.006108,44.87           ,15                    ,1               ,49.23
0.006108,44.87           ,44.66                 ,1               ,49.84
0.006108,50.62           ,51.38                 ,2               ,351.22
0.006108,50.61           ,51.66                 ,3               ,511.99
0.000295,47.56           ,49.56                 ,3               ,433.54
0.003782,51.35           ,52.14                 ,3               ,477.81
0.000641,48.48           ,49.86                 ,3               ,465.68
1.7e-05 ,47.45           ,48.84                 ,3               ,432.27
0.028795,47.2            ,47.2                  ,3               ,447.09
1.1e-05 ,46.96           ,49.36                 ,3               ,444.89
3.4e-05 ,47.03           ,50.1                  ,3               ,446.23
0.02446 ,47.63           ,47.88                 ,3               ,453.59
1.7e-05 ,47.16           ,49.78                 ,4               ,445.07
0.007397,50.32           ,51.12                 ,4               ,21836.85
7.8e-05 ,46.95           ,50.32                 ,4               ,430.38
8.1e-05 ,47.72           ,49.72                 ,4               ,433.59
2.4e-05 ,46.9            ,49.1                  ,4               ,452.83
0.007514,50.73           ,51.26                 ,4               ,469.41
0.006108,51.63,51.9,3,503.69
0.006108,51.82,52.3,3,504.06
0.006108,51.44,52.3,3,633.53
0.006108,51.44,52.3,3,648.34
0.006108,51.44,52.3,3,653.12
